PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,FamilySize,IsAlone,AgeGroup,FareGroup
1,1,2,"Passenger, Person 1",female,60.9809690923498,0,1,340001,21.10398142734432,,S,2,0,Senior,Medium-High
2,0,3,"Passenger, Person 2",female,20.917133616451594,1,1,340002,7.29155082574493,A10,S,3,0,Adult,Low
3,0,3,"Passenger, Person 3",male,40.46038289413495,0,0,340003,10.84111219149544,,S,1,1,Middle-Aged,Medium-Low
4,1,3,"Passenger, Person 4",female,,0,0,340004,11.923462937628702,,S,1,1,,Medium-Low
5,0,1,"Passenger, Person 5",male,48.57524869628257,0,0,PC 17005,117.69512359967484,,S,1,1,Middle-Aged,High
6,1,1,"Passenger, Person 6",male,52.34191235253936,0,3,PC 17006,150.21182713805322,,Q,4,0,Middle-Aged,High
7,1,1,"Passenger, Person 7",female,30.164060161453616,0,0,PC 17007,95.57771767475856,,S,1,1,Adult,High
8,1,3,"Passenger, Person 8",male,18.77544087998034,0,1,340008,10.154911952643918,B96 B98,C,2,0,Adult,Medium-Low
9,0,3,"Passenger, Person 9",male,,0,0,340009,13.95239891905383,B96 B98,S,1,1,,Medium-Low
10,0,3,"Passenger, Person 10",male,19.873127138594462,0,0,340010,9.948393360144165,C22 C26,S,1,1,Adult,Medium-Low
11,0,1,"Passenger, Person 11",male,58.89411508913604,0,0,PC 17011,0.0,,S,1,1,Middle-Aged,Low
12,0,3,"Passenger, Person 12",male,31.679762300699693,0,0,340012,25.691407884185324,F2,S,1,1,Adult,Medium-High
13,0,3,"Passenger, Person 13",male,24.402837505974425,1,1,340013,23.61782748736584,,C,3,0,Adult,Medium-High
14,0,1,"Passenger, Person 14",male,,0,1,PC 17014,239.24005149928652,,S,2,0,,High
15,1,1,"Passenger, Person 15",female,,0,1,PC 17015,262.0289459052534,,S,2,0,,High
16,1,1,"Passenger, Person 16",female,15.611596441595552,0,0,PC 17016,0.0,,Q,1,1,Teens,Low
17,0,2,"Passenger, Person 17",male,47.10600166519416,1,0,340017,16.29980103507523,,S,2,0,Middle-Aged,Medium-Low
18,1,3,"Passenger, Person 18",male,20.17503295491476,0,0,340018,41.30693556557157,,Q,1,1,Adult,High
19,0,2,"Passenger, Person 19",male,14.519790751111875,0,0,340019,20.132841997430948,,Q,1,1,Teens,Medium-High
20,0,2,"Passenger, Person 20",male,37.48146491164565,1,0,340020,23.834741733107776,,S,2,0,Middle-Aged,Medium-High
21,0,3,"Passenger, Person 21",male,46.892710242613454,1,0,340021,0.0,,S,2,0,Middle-Aged,Low
22,0,1,"Passenger, Person 22",male,40.12482300464347,0,0,PC 17022,95.8725132629884,,S,1,1,Middle-Aged,High
23,1,2,"Passenger, Person 23",male,44.14269144418434,0,6,340023,45.77522487186816,,S,7,0,Middle-Aged,High
24,1,2,"Passenger, Person 24",male,,1,0,340024,37.38613553134587,,S,2,0,,High
25,0,3,"Passenger, Person 25",male,9.083745332243264,5,0,340025,6.970169163296022,,Q,6,0,Child,Low
26,0,3,"Passenger, Person 26",male,,1,0,340026,9.32051996774742,,C,2,0,,Medium-Low
27,0,1,"Passenger, Person 27",female,25.02114233678903,0,0,PC 17027,0.0,C22 C26,S,1,1,Adult,Low
28,0,3,"Passenger, Person 28",female,26.06292126140181,0,0,340028,4.317205457253237,,S,1,1,Adult,Low
29,1,3,"Passenger, Person 29",male,48.95881505681134,0,2,340029,0.0,B96 B98,S,3,0,Middle-Aged,Low
30,1,1,"Passenger, Person 30",female,37.76533513630957,1,1,PC 17030,77.53406537654007,,S,3,0,Middle-Aged,High
31,0,3,"Passenger, Person 31",male,36.31037269518331,0,2,340031,30.29121747923452,,C,3,0,Middle-Aged,Medium-High
32,1,1,"Passenger, Person 32",female,61.092534001065715,0,5,PC 17032,111.87369007931244,,S,6,0,Senior,High
33,1,1,"Passenger, Person 33",female,20.36898565948793,1,0,PC 17033,190.71664121732712,,S,2,0,Adult,High
34,0,3,"Passenger, Person 34",male,,0,0,340034,25.485743410185982,,S,1,1,,Medium-High
35,0,3,"Passenger, Person 35",male,30.526690311007727,1,0,340035,7.66511101470109,F2,S,2,0,Adult,Low
36,0,3,"Passenger, Person 36",male,33.594588043517234,0,0,340036,5.325426724529066,,S,1,1,Adult,Low
37,0,2,"Passenger, Person 37",male,,0,0,340037,11.284600760931076,,C,1,1,,Medium-Low
38,0,1,"Passenger, Person 38",male,37.06361846619954,0,0,PC 17038,0.0,,S,1,1,Middle-Aged,Low
